이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
김재호,두산,2019,SS,1.36,993.1,13.15,0.98,7.07,1.14,0.0,0.0,0.0
양의지,두산,2018,C,0.965,861.2,11.0,0.996,-0.14,0.72,1.8,0.19,0.0
박세혁,두산,2019,C,0.833,1071.2,8.09,0.991,-0.03,-0.19,-1.51,0.9,0.0
허경민,두산,2018,3B,0.673,1048.1,7.55,0.978,3.98,1.56,0.0,0.0,0.0
박세혁,두산,2020,C,0.649,881.2,6.86,0.99,-0.45,-0.35,-1.62,1.32,0.0
정수빈,두산,2020,CF,0.64,1161.2,6.79,0.997,3.8,0.36,0.0,0.0,0.52
박세혁,두산,2022,C,0.622,884.0,5.98,0.993,-0.09,0.29,-0.99,-0.52,0.0
박세혁,두산,2021,C,0.591,575.1,5.88,0.993,-0.35,0.05,0.69,0.58,0.0
장승현,두산,2021,C,0.584,505.0,5.83,0.991,0.48,-0.05,1.25,-0.18,0.0
김재호,두산,2020,SS,0.533,960.2,5.65,0.97,0.13,0.28,0.0,0.0,0.0
김인태,두산,2021,RF,0.51,726.0,5.12,1.0,9.16,0.45,0.0,0.0,-0.73
정수빈,두산,2018,CF,0.479,214.2,5.38,0.979,5.84,-0.29,0.0,0.0,-0.59
정수빈,두산,2019,CF,0.476,1012.2,4.6,0.99,5.06,0.03,0.0,0.0,-2.17
김재호,두산,2021,SS,0.417,543.0,4.14,0.985,0.08,1.29,0.0,0.0,0.0
조수행,두산,2021,CF,0.412,276.0,4.15,0.99,4.35,-0.06,0.0,0.0,0.32
허경민,두산,2020,3B,0.4,987.0,4.28,0.971,0.83,1.22,0.0,0.0,0.0
강승호,두산,2022,2B,0.381,1005.2,3.68,0.976,2.77,-0.17,0.0,0.0,0.0
류지혁,두산,2018,SS,0.375,620.0,4.17,0.987,1.1,1.02,0.0,0.0,0.0
허경민,두산,2019,3B,0.364,1083.0,3.52,0.972,0.24,1.48,0.0,0.0,0.0
박세혁,두산,2018,C,0.345,421.1,3.86,0.994,0.14,0.2,0.06,0.06,0.22
김재호,두산,2022,SS,0.338,614.0,3.23,0.981,-0.88,1.2,0.0,0.0,0.0
강승호,두산,2021,2B,0.332,761.1,3.32,0.98,1.83,0.4,0.0,0.0,0.0
백동훈,두산,2019,RF,0.295,139.0,2.82,1.0,3.44,0.09,0.0,0.0,-0.37
김재호,두산,2018,SS,0.262,939.0,2.96,0.974,-3.11,0.62,0.0,0.0,0.0
정상호,두산,2020,C,0.241,223.1,2.5,0.99,1.09,-0.08,-0.51,0.01,0.0
