name,number,birth,position,height/weight,career,down_payment,salary,rank,year,image,team
 강민호,No.47,1985년 08월 18일,포수(우투우타),185cm/100kg, 제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,60000만원,04 롯데 2차 3라운드 17순위,04롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/74540.jpg,삼성
 강백호,No.50,1999년 07월 29일,내야수(우투좌타),184cm/98kg, 부천북초-서울이수중-서울고,45000만원,29000만원,18 KT 2차 1라운드 1순위,18KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68050.jpg,KT
 강승호,No.23,1994년 02월 09일,내야수(우투우타),178cm/88kg, 순천북초-천안북중-북일고-LG-경찰-LG-SK,20000만원,20000만원,13 LG 1라운드 3순위,13LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/63123.jpg,두산
 강진성,No.28,1993년 10월 19일,외야수(우투우타),176cm/89kg, 가동초-잠신중-경기고-NC-경찰-NC-두산,7000만원,8000만원,12 NC 4라운드 33순위,12NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62925.jpg,SSG
 강현우,No.55,2001년 04월 13일,포수(우투우타),180cm/90kg, 원종초(부천시리틀)-부천중-유신고,15000만원,3000만원,20 KT 2차 1라운드 2순위,20KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50066.jpg,KT
 고승민,No.65,2000년 08월 11일,외야수(우투좌타),189cm/92kg, 군산신풍초-배명중-북일고,15000만원,7300만원,19 롯데 2차 1라운드 8순위,19롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/69517.jpg,롯데
 고영표,No.1,1991년 09월 16일,투수(우언우타),187cm/88kg, 광주대성초-광주동성중-화순고-동국대,13000만원,43000만원,14 KT 2차 1라운드 10순위,14KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/64001.jpg,KT
 고우석,No.19,1998년 08월 06일,투수(우투우타),182cm/90kg, 갈산초-양천중-충암고,30000만원,43000만원,17 LG 1차,17LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67119.jpg,LG
 고종욱,No.57,1989년 01월 11일,외야수(우투좌타),184cm/83kg, 역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG,8000만원,7000만원,11 넥센 3라운드 19순위,11넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/61353.jpg,KIA
 고효준,No.15,1983년 02월 08일,투수(좌투좌타),179cm/81kg, 서원초-세광중-세광고-롯데-SK-KIA-롯데-LG,11000만원,8500만원,02 롯데 2차 1라운드 6순위,02롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/72523.jpg,SSG
 곽도규,No.9,2004년 04월 12일,투수(좌투좌타),185cm/90kg, 도척초-공주중-공주고,6000만원,3000만원,23 KIA 5라운드 42순위,23KIA,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53609.jpg,KIA
