이름,구단,연도,포지션,WAR*,타율,OPS,wRC+,WPA,타점율,삼진율,볼삼비,순도루성공,병살율
김재환,두산,18,LF,6.94,0.334,1.062,168.8,5.8,0.252371917,0.25426945,0.439970172,2,0.0113851992
양의지,두산,18,C,6.42,0.358,1.013,160.5,3.91,0.175398633,0.0911161731,1.122194514,6,0.0296127563
페르난데스,두산,19,DH,5.1,0.344,0.892,154.7,3.32,0.153846154,0.0944055944,1.12754159,-1,0.027972028
김재환,두산,21,LF,4.77,0.274,0.883,148.2,2.69,0.214736842,0.267368421,0.63729347,-1,0.0189473684
김재환,두산,20,LF,4.7,0.266,0.869,135.2,2.33,0.219417476,0.299029126,0.590525633,6,0.027184466
박건우,두산,19,RF,4.68,0.319,0.863,144.3,0.91,0.139737991,0.124454148,1.050788091,9,0.0502183406
최주환,두산,18,DH,4.66,0.333,0.979,148.6,3.9,0.208092486,0.171483622,0.572390572,1,0.00963391137
박건우,두산,21,RF,4.62,0.325,0.841,138.5,1.64,0.137554585,0.15720524,0.693481276,13,0.0349344978
페르난데스,두산,20,DH,4.4,0.34,0.901,146.5,4.31,0.179180887,0.0716723549,1.377672209,-1,0.0443686007
오재일,두산,19,1B,4.14,0.293,0.863,145.1,4.6,0.218415418,0.211991435,0.554994955,1,0.0107066381
최주환,두산,20,2B,4,0.305,0.838,123.6,1.7,0.169291339,0.12992126,0.726172466,0,0.0137795276
김재호,두산,18,SS,3.79,0.311,0.87,124.5,1.69,0.186567164,0.191542289,0.674448768,4,0.0298507463
박건우,두산,20,RF,3.78,0.304,0.841,126.5,1.67,0.143737166,0.133470226,0.64516129,6,0.0184804928
오재일,두산,20,1B,3.57,0.312,0.872,138.8,1.35,0.18895966,0.195329087,0.662323561,1,0.025477707
허경민,두산,18,3B,3.56,0.324,0.835,113.4,1.89,0.153100775,0.100775194,0.614203455,16,0.0290697674
허경민,두산,20,3B,3.55,0.332,0.824,122.7,1.58,0.132723112,0.0640732265,1.245551601,8,0.0228832952
김재환,두산,19,LF,3.52,0.283,0.798,123.5,2.53,0.184210526,0.228744939,0.557029178,2,0.0141700405
박건우,두산,18,CF,3.42,0.326,0.847,117.5,3.97,0.172131148,0.133196721,0.430107527,4,0.0286885246
허경민,두산,22,3B,3.29,0.289,0.759,119.6,1.82,0.138888889,0.0925925926,0.897755611,7,0.0277777778
오재원,두산,18,2B,3.29,0.313,0.832,114,4.07,0.171247357,0.251585624,0.344248531,9,0.0274841438
김재환,두산,22,LF,3.24,0.248,0.8,130.7,0.33,0.160714286,0.296875,0.458302029,1,0.0111607143
양석환,두산,21,1B,3.1,0.273,0.827,130.3,1.93,0.196721311,0.278688525,0.30859662,-1,0.0204918033
페르난데스,두산,21,DH,3.07,0.315,0.833,136.6,1.2,0.15,0.0648148148,1.851851852,-2,0.0462962963
박세혁,두산,19,C,3.06,0.279,0.736,101.3,1.02,0.142857143,0.154195011,0.6020558,6,0.0113378685
정수빈,두산,20,CF,2.95,0.298,0.764,104.3,1.48,0.120408163,0.114285714,0.980392157,9,0.0204081633
김재호,두산,19,SS,2.89,0.268,0.737,108.2,-0.2,0.127320955,0.153846154,1.153184165,0,0.0265251989
오재일,두산,18,1B,2.85,0.279,0.912,130.4,1.22,0.199501247,0.301745636,0.495458299,0,0.00748129676
허경민,두산,19,3B,2.44,0.288,0.721,102.4,-0.25,0.126315789,0.0757894737,0.941828255,6,0.0336842105
강승호,두산,22,2B,2.34,0.264,0.708,100.5,0.53,0.13963964,0.225225225,0.28971029,8,0.018018018
허경민,두산,21,3B,2.07,0.278,0.703,96.8,-0.83,0.126068376,0.0747863248,1.025641026,-2,0.0448717949
박계범,두산,21,SS,2.06,0.267,0.725,104.8,0.6,0.142857143,0.211180124,0.646108664,1,0.0248447205
정수빈,두산,19,CF,2.05,0.265,0.685,94.8,0.15,0.0952380952,0.136054422,0.948419301,18,0.0136054422
김재호,두산,20,SS,1.98,0.289,0.709,95.3,-0.09,0.0972568579,0.112219451,0.997782705,4,0.042394015
페르난데스,두산,22,DH,1.83,0.309,0.752,118.6,-0.21,0.151574803,0.0885826772,0.776053215,0,0.0669291339
박세혁,두산,20,C,1.77,0.269,0.712,90.8,1.06,0.141666667,0.125,0.776053215,2,0.0194444444
김인태,두산,21,RF,1.74,0.259,0.751,113.3,1.54,0.13372093,0.194767442,0.923994039,-2,0.0290697674
양석환,두산,22,1B,1.57,0.244,0.741,113,0.05,0.125615764,0.248768473,0.316518299,1,0.00738916256
