이름,구단,연도,WAR,승리기여율,이닝,볼삼비,삼진율,ERA,ERA+,FIP,FIP+,WHIP,WPA
알칸타라,두산,2020,8.31,0.6451612903225806,198.2,6.046511627906977,0.9182643794147326,2.54,182.6,3.1,149.7,1.03,4.35
미란다,두산,2021,7.09,0.5,173.2,3.565768621236133,1.2990762124711317,2.33,185.0,2.67,161.1,1.14,3.27
린드블럼,두산,2019,6.86,0.6666666666666666,194.2,6.494845360824742,0.9732234809474768,2.5,164.4,2.87,141.5,1.0,4.44
린드블럼,두산,2018,6.81,0.5769230769230769,168.2,4.120734908136483,0.9334126040428062,2.88,175.4,4.02,125.2,1.07,2.06
최원준,두산,2021,4.13,0.4137931034482758,158.1,3.045822102425876,0.7147375079063883,3.3,130.8,4.01,107.1,1.24,1.17
후랭코프,두산,2018,4.12,0.6428571428571429,149.1,2.4319419237749544,0.8987256874580819,3.74,135.3,4.61,110.0,1.16,1.18
로켓,두산,2021,4.1,0.4285714285714285,124.0,2.660332541567696,0.9032258064516128,2.98,144.9,3.33,130.9,1.4,1.0
이용찬,두산,2018,3.91,0.625,144.0,2.825484764542936,0.7083333333333334,3.63,139.4,4.56,110.8,1.3,0.45
유희관,두산,2019,3.55,0.4074074074074074,166.1,1.520190023752969,0.3853100541842263,3.25,126.5,4.02,102.3,1.28,1.7
플렉센,두산,2020,3.51,0.3809523809523809,116.2,4.385382059800664,1.135972461273666,3.01,154.0,2.73,169.7,1.09,1.01
최원준,두산,2020,3.08,0.0,123.0,2.678062678062678,0.7642276422764228,3.8,121.8,4.64,99.0,1.37,0.8
이영하,두산,2019,3.03,0.6296296296296297,163.1,1.4729950900163666,0.5518087063151441,3.64,112.9,3.99,103.4,1.28,3.13
함덕주,두산,2018,2.95,0.4838709677419355,67.0,2.0215633423180592,1.1194029850746268,2.96,171.0,4.07,124.8,1.42,1.58
홍건희,두산,2021,2.92,0.3076923076923077,74.1,3.025830258302583,1.106612685560054,2.78,154.9,2.74,158.9,1.24,0.6
후랭코프,두산,2019,2.59,0.4090909090909091,117.1,3.687707641196013,0.9479077711357814,3.61,113.9,3.14,130.4,1.19,0.48
정철원,두산,2022,2.51,0.4482758620689655,72.2,1.800766283524904,0.6509695290858726,3.1,128.5,3.83,104.6,1.18,1.1
김강률,두산,2021,2.49,0.48,51.2,1.6334661354581672,0.80078125,2.09,206.4,3.53,124.0,1.53,1.8
곽빈,두산,2022,2.36,0.2962962962962963,147.2,2.2961730449251245,0.9375,3.78,105.3,4.04,98.3,1.38,0.45
이영하,두산,2020,2.02,0.2608695652173913,132.0,1.2859304084720122,0.6439393939393939,4.64,99.9,4.7,99.1,1.62,-1.97
박치국,두산,2018,1.72,0.2985074626865671,67.0,3.9735099337748343,0.8955223880597015,3.63,139.4,3.91,129.6,1.42,0.27
김명신,두산,2022,1.64,0.1470588235294117,79.2,2.4302788844621515,0.7702020202020202,3.62,110.1,3.68,108.5,1.26,0.17
최원준,두산,2022,1.62,0.2666666666666666,165.0,3.045822102425876,0.6848484848484848,3.6,110.5,4.42,88.7,1.33,-0.53
윤명준,두산,2019,1.62,0.217391304347826,68.1,1.990049751243781,0.5873715124816447,2.63,155.8,3.73,110.3,1.22,0.36
박치국,두산,2020,1.46,0.0952380952380952,71.2,1.9354838709677415,0.9269662921348314,2.89,160.4,4.09,113.5,1.38,-0.27
이용찬,두산,2019,1.35,0.2692307692307692,148.1,2.261640798226164,0.6887238352464551,4.07,101.0,4.31,93.9,1.44,0.09
함덕주,두산,2020,1.34,0.4,55.1,2.6066350710900474,0.998185117967332,3.9,118.7,3.07,152.5,1.37,-0.39
곽빈,두산,2021,1.34,0.1904761904761904,98.2,1.213653603034134,0.9775967413441956,4.1,105.1,5.08,85.6,1.59,-0.3
이영하,두산,2018,1.32,0.0869565217391304,122.2,1.6635859519408502,0.7364975450081833,5.28,95.7,5.47,92.1,1.58,-1.25
최원준,두산,2019,1.29,0.1612903225806451,54.1,2.3602484472049685,0.7024029574861368,2.65,154.9,3.29,125.5,1.25,-0.23
김승회,두산,2018,1.21,0.2545454545454545,54.2,1.4718614718614718,0.6273062730627306,3.46,146.2,5.5,91.9,1.41,-0.58
이형범,두산,2019,1.21,0.4328358208955223,61.0,1.6230366492146595,0.5081967213114754,2.66,154.6,4.52,90.5,1.25,1.23
홍건희,두산,2022,1.09,0.4655172413793103,62.0,2.8436018957345968,0.967741935483871,3.48,114.2,3.42,116.0,1.27,0.16
브랜든,두산,2022,1.07,0.4545454545454545,65.0,1.6597510373443982,0.6153846153846154,3.6,110.5,4.26,93.5,1.23,0.65
김강률,두산,2018,1.04,0.2615384615384615,76.0,3.3609958506224062,1.0657894736842106,4.62,109.4,3.93,128.3,1.26,1.51
