team,team_fullname,start_year,location,winning_year,detail
SSG,SSG 랜더스,2021,인천,5회,"(2007, 2008, 2010, 2018, 2022)
※ SK 와이번스 우승 기록 포함"
키움,키움 히어로즈,2008,서울,-,-
LG,LG 트윈스,1990,서울,2회,"(1990, 1994)"
KT,KT 위즈,2013,수원,1회,(2021)
KIA,KIA 타이거즈,2001,광주,11회,"(1983, 1986~1989, 1991, 1993, 1996, 1997, 2009, 2017)
※ 해태 타이거즈 우승 기록 포함"
NC,NC 다이노스,2011,창원,1회,(2020)
삼성,삼성 라이온즈,1982,대구,8회,"(1985, 2002, 2005, 2006, 2011~2014)"
롯데,롯데 자이언츠,1982,부산,2회,"(1984, 1992)"
두산,두산 베어스,1982,서울,6회,"(1982, 1995, 2001, 2015, 2016, 2019)
※ OB 베어스 우승 기록 포함"
한화,한화 이글스,1986,대전,1회,(1999)
